"Uberstrain","ST_Country","N_human_e.coli_shigella","N_bovine_e.coli_shigella","N_swine_e.coli_shigella","N_poultry_e.coli_shigella","N_dog_e.coli_shigella","N_water_e.coli_shigella","Name.x","Barcode.x","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent.x","Country.x","Region.x","District.x","City.x","Post.Code","Latitude.x","Longitude.x","Lab.Contact","Species.x","Serological.Group","Serotype.x","EcoR.Cluster","Path.Nonpath","Simple.Patho","Comment.x","Simple.Disease","Bio.Project.ID","Project.ID","Disease.x","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA","is_common_ST","is_common_country","is_bovine","is_swine","is_poultry","is_human","is_human2","is_dog","is_water","is_concerned_host","Name.y","Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)","Source Niche","Source Type","Source Details","Collection Year","Collection Month","Collection Day","Collection Time","Continent.y","Country.y","Region.y","District.y","City.y","Post Code","Latitude.y","Longitude.y","Lab Contact","Species.y","Serological Group","Serotype.y","EcoR Cluster","Path/Nonpath","Simple Patho","Simple Disease","Comment.y","Bio Project ID","Project ID","Disease.y","Sample ID","Secondary Sample ID","Date Entered","Release Date","Barcode.y","Status","Coverage","N50","Length","Contig Number(>=200 bp)","Low Quality Bases","Version","Assembly barcode"
"ESC_PA1652AA","11_New Zealand",77,80,1,0,0,1,"ERL112886","ESC_PA1652AA","SRR7644822;ILLUMINA;Paired;;SRX4508187;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765968","SRS3628122","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL112886","SRR7644822;ILLUMINA;Paired;;SRX4508187;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765968","SRS3628122",2019-11-18,2019-08-01,"ESC_PA1652AA","Assembled",110,201738,5423664,210,36857,4.1,"ESC_GB6361AA_AS"
"ESC_PA1653AA","11_New Zealand",77,80,1,0,0,1,"ERL112838","ESC_PA1653AA","SRR7644823;ILLUMINA;Paired;;SRX4508186;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765967","SRS3628119","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL112838","SRR7644823;ILLUMINA;Paired;;SRX4508186;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765967","SRS3628119",2019-11-18,2019-08-01,"ESC_PA1653AA","Assembled",324,151733,5490812,252,42861,4.1,"ESC_GB6360AA_AS"
"ESC_PA1654AA","11_New Zealand",77,80,1,0,0,1,"ERL112652","ESC_PA1654AA","SRR7644824;ILLUMINA;Paired;;SRX4508185;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765966","SRS3628116","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL112652","SRR7644824;ILLUMINA;Paired;;SRX4508185;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765966","SRS3628116",2019-11-18,2019-08-01,"ESC_PA1654AA","Assembled",140,148495,5381409,227,37685,4.1,"ESC_GB6359AA_AS"
"ESC_PA1655AA","11_New Zealand",77,80,1,0,0,1,"ERL112437","ESC_PA1655AA","SRR7644825;ILLUMINA;Paired;;SRX4508184;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765965","SRS3628120","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL112437","SRR7644825;ILLUMINA;Paired;;SRX4508184;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765965","SRS3628120",2019-11-18,2019-08-01,"ESC_PA1655AA","Assembled",122,200000,5394135,227,34436,4.1,"ESC_GB6358AA_AS"
"ESC_PA1656AA","11_New Zealand",77,80,1,0,0,1,"ERL111881","ESC_PA1656AA","SRR7644826;ILLUMINA;Paired;;SRX4508183;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765964","SRS3628118","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL111881","SRR7644826;ILLUMINA;Paired;;SRX4508183;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765964","SRS3628118",2019-11-18,2019-08-01,"ESC_PA1656AA","Assembled",276,168981,5408025,274,37792,4.1,"ESC_GB6357AA_AS"
"ESC_PA1657AA","11_New Zealand",77,80,1,0,0,1,"ERL111878","ESC_PA1657AA","SRR7644827;ILLUMINA;Paired;;SRX4508182;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765963","SRS3628115","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL111878","SRR7644827;ILLUMINA;Paired;;SRX4508182;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765963","SRS3628115",2019-11-18,2019-08-01,"ESC_PA1657AA","Assembled",166,149719,5527080,256,45716,4.1,"ESC_GB6356AA_AS"
"ESC_PA1658AA","11_New Zealand",77,80,1,0,0,1,"ERL111514","ESC_PA1658AA","SRR7644828;ILLUMINA;Paired;;SRX4508181;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765962","SRS3628114","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL111514","SRR7644828;ILLUMINA;Paired;;SRX4508181;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765962","SRS3628114",2019-11-18,2019-08-01,"ESC_PA1658AA","Assembled",245,156570,5455407,276,47129,4.1,"ESC_GB6355AA_AS"
"ESC_PA1659AA","11_New Zealand",77,80,1,0,0,1,"ERL11105","ESC_PA1659AA","SRR7644829;ILLUMINA;Paired;;SRX4508180;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765961","SRS3628113","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL11105","SRR7644829;ILLUMINA;Paired;;SRX4508180;SRA","Human","Human","Homo sapiens; human",2011,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765961","SRS3628113",2019-11-18,2019-08-01,"ESC_PA1659AA","Assembled",253,156570,5388540,234,29521,4.1,"ESC_GB6354AA_AS"
"ESC_PA1660AA","11_New Zealand",77,80,1,0,0,1,"ERL102113","ESC_PA1660AA","SRR7644830;ILLUMINA;Paired;;SRX4508179;SRA","Human","Human","Homo sapiens; human",2010,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765953","SRS3628110","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL102113","SRR7644830;ILLUMINA;Paired;;SRX4508179;SRA","Human","Human","Homo sapiens; human",2010,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765953","SRS3628110",2019-11-18,2019-08-01,"ESC_PA1660AA","Assembled",57,183602,5398721,257,38975,4.1,"ESC_GB6353AA_AS"
"ESC_PA1661AA","11_New Zealand",77,80,1,0,0,1,"ERL063112","ESC_PA1661AA","SRR7644831;ILLUMINA;Paired;;SRX4508178;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765904","SRS3628112","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL063112","SRR7644831;ILLUMINA;Paired;;SRX4508178;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765904","SRS3628112",2019-11-18,2019-08-01,"ESC_PA1661AA","Assembled",142,184325,5434952,230,34212,4.1,"ESC_GB6352AA_AS"
"ESC_PA1662AA","11_New Zealand",77,80,1,0,0,1,"ERL06287","ESC_PA1662AA","SRR7644832;ILLUMINA;Paired;;SRX4508177;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765903","SRS3628109","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL06287","SRR7644832;ILLUMINA;Paired;;SRX4508177;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765903","SRS3628109",2019-11-18,2019-08-01,"ESC_PA1662AA","Assembled",230,156570,5512330,218,33321,4.1,"ESC_GB6351AA_AS"
"ESC_PA1663AA","11_New Zealand",77,80,1,0,0,1,"ERL062494","ESC_PA1663AA","SRR7644833;ILLUMINA;Paired;;SRX4508176;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765902","SRS3628111","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL062494","SRR7644833;ILLUMINA;Paired;;SRX4508176;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765902","SRS3628111",2019-11-18,2019-08-01,"ESC_PA1663AA","Assembled",167,184325,5448791,216,37444,4.1,"ESC_GB6350AA_AS"
"ESC_PA1664AA","11_New Zealand",77,80,1,0,0,1,"ERL061626","ESC_PA1664AA","SRR7644834;ILLUMINA;Paired;;SRX4508175;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765901","SRS3628108","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL061626","SRR7644834;ILLUMINA;Paired;;SRX4508175;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765901","SRS3628108",2019-11-18,2019-08-01,"ESC_PA1664AA","Assembled",288,182802,5369721,263,69712,4.1,"ESC_GB6349AA_AS"
"ESC_PA1665AA","11_New Zealand",77,80,1,0,0,1,"ERL063513","ESC_PA1665AA","SRR7644835;ILLUMINA;Paired;;SRX4508174;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765908","SRS3628107","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL063513","SRR7644835;ILLUMINA;Paired;;SRX4508174;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765908","SRS3628107",2019-11-18,2019-08-01,"ESC_PA1665AA","Assembled",142,146888,5530843,241,39906,4.1,"ESC_GB6348AA_AS"
"ESC_PA1666AA","11_New Zealand",77,80,1,0,0,1,"ERL063358","ESC_PA1666AA","SRR7644836;ILLUMINA;Paired;;SRX4508173;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765907","SRS3628106","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL063358","SRR7644836;ILLUMINA;Paired;;SRX4508173;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765907","SRS3628106",2019-11-18,2019-08-01,"ESC_PA1666AA","Assembled",241,184325,5411846,217,25235,4.1,"ESC_GB6347AA_AS"
"ESC_PA1667AA","11_New Zealand",77,80,1,0,0,1,"ERL063151","ESC_PA1667AA","SRR7644837;ILLUMINA;Paired;;SRX4508172;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765906","SRS3628140","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL063151","SRR7644837;ILLUMINA;Paired;;SRX4508172;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765906","SRS3628140",2019-11-18,2019-08-01,"ESC_PA1667AA","Assembled",130,188415,5357029,229,41467,4.1,"ESC_GB6346AA_AS"
"ESC_PA1668AA","11_New Zealand",77,80,1,0,0,1,"ERL063117","ESC_PA1668AA","SRR7644838;ILLUMINA;Paired;;SRX4508171;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765905","SRS3628105","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL063117","SRR7644838;ILLUMINA;Paired;;SRX4508171;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765905","SRS3628105",2019-11-18,2019-08-01,"ESC_PA1668AA","Assembled",155,146647,5397827,215,41205,4.1,"ESC_GB6345AA_AS"
"ESC_PA1669AA","11_New Zealand",77,80,1,0,0,1,"ERL064361","ESC_PA1669AA","SRR7644839;ILLUMINA;Paired;;SRX4508170;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765910","SRS3628104","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","ERL064361","SRR7644839;ILLUMINA;Paired;;SRX4508170;SRA","Human","Human","Homo sapiens; human",2006,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765910","SRS3628104",2019-11-18,2019-08-01,"ESC_PA1669AA","Assembled",124,201738,5472163,170,32334,4.1,"ESC_GB6344AA_AS"
"ESC_PA1670AA","11_New Zealand",77,80,1,0,0,1,"ERL063581","ESC_PA1670AA","SRR7644840;ILLUMINA;Paired;;SRX4508169;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765909","SRS3628103","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL063581","SRR7644840;ILLUMINA;Paired;;SRX4508169;SRA","Livestock","Bovine","Bos taurus; bovine",2006,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765909","SRS3628103",2019-11-18,2019-08-01,"ESC_PA1670AA","Assembled",173,184329,5379323,178,30559,4.1,"ESC_GB6343AA_AS"
"ESC_PA1671AA","11_New Zealand",77,80,1,0,0,1,"ERL102267","ESC_PA1671AA","SRR7644841;ILLUMINA;Paired;;SRX4508168;SRA","Livestock","Bovine","Bos taurus; bovine",2010,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765954","SRS3628098","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","ERL102267","SRR7644841;ILLUMINA;Paired;;SRX4508168;SRA","Livestock","Bovine","Bos taurus; bovine",2010,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765954","SRS3628098",2019-11-18,2019-08-01,"ESC_PA1671AA","Assembled",224,151733,5336235,196,43584,4.1,"ESC_GB6342AA_AS"
"ESC_PA1672AA","11_New Zealand",77,80,1,0,0,1,"H14ER913","ESC_PA1672AA","SRR7644842;ILLUMINA;Paired;;SRX4508167;SRA","Human","Human","Homo sapiens; human",2014,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765999","SRS3628096","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"yes","H14ER913","SRR7644842;ILLUMINA;Paired;;SRX4508167;SRA","Human","Human","Homo sapiens; human",2014,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765999","SRS3628096",2019-11-18,2019-08-01,"ESC_PA1672AA","Assembled",189,184268,5470702,217,37085,4.1,"ESC_GB6341AA_AS"
"ESC_PA1673AA","11_New Zealand",77,80,1,0,0,1,"h160a","ESC_PA1673AA","SRR7644843;ILLUMINA;Paired;;SRX4508166;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,"","Oceania","New Zealand","Waikato","South Waikato District","","",-40.388,175.617,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09766000","SRS3628097","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","h160a","SRR7644843;ILLUMINA;Paired;;SRX4508166;SRA","Livestock","Bovine","Bos taurus; bovine",2011,NA,NA,NA,"Oceania","New Zealand","Waikato","South Waikato District",NA,NA,-40.388,175.617,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09766000","SRS3628097",2019-11-18,2019-08-01,"ESC_PA1673AA","Assembled",199,146963,5447628,243,31763,4.1,"ESC_GB6340AA_AS"
"ESC_PA1674AA","11_New Zealand",77,80,1,0,0,1,"H13ESR2556","ESC_PA1674AA","SRR7644844;ILLUMINA;Paired;;SRX4508165;SRA","Livestock","Bovine","Bos taurus; bovine",2013,NA,NA,"","Oceania","New Zealand","Canterbury","Ashburton District","","",-43.53,172.616,"AgResearch Limited","Escherichia coli","","O157:H7","","","","","","PRJNA483087","SRP156353","","SAMN09765993","SRS3628102","2019-11-18","2019-08-01",NA,11,"ST11 Cplx","ABD",NA,12,12,8,12,15,2,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","H13ESR2556","SRR7644844;ILLUMINA;Paired;;SRX4508165;SRA","Livestock","Bovine","Bos taurus; bovine",2013,NA,NA,NA,"Oceania","New Zealand","Canterbury","Ashburton District",NA,NA,-43.53,172.616,"AgResearch Limited","Escherichia coli",NA,"O157:H7",NA,NA,NA,NA,NA,"PRJNA483087","SRP156353",NA,"SAMN09765993","SRS3628102",2019-11-18,2019-08-01,"ESC_PA1674AA","Assembled",143,244812,5424384,248,45463,4.1,"ESC_GB6339AA_AS"
